entity_name,year,unr,gdp,cpi,inr,exr,d_gdp,d_cpi,d_unr,v_exr,v_inr
Chile,2015,6.328,2.152,4.378,3.5,654.124084254196,0.3590000000000002,-0.26199999999999957,-0.16699999999999982,0.14688547409787467,0.16666666666666674
Chile,2016,6.685,1.753,2.715,3.5,676.957736044657,-0.39900000000000024,-1.6630000000000003,0.3569999999999993,0.034907217667264234,0
Chile,2017,6.965,1.358,2.266,2.5,648.833792598261,-0.3949999999999998,-0.44899999999999984,0.28000000000000025,-0.04154460751230826,-0.2857142857142857
Chile,2018,7.377,3.99,2.149,2.75,641.2768130663948,2.632,-0.11699999999999999,0.4119999999999999,-0.01164701903334009,0.10000000000000009
Chile,2019,7.223,0.634,3.001,1.75,702.8974225615285,-3.3560000000000003,0.8519999999999999,-0.15399999999999991,0.09609049982718432,-0.36363636363636365
Chile,2020,10.77,-6.143,2.971,0.5,792.7272061031686,-6.777,-0.029999999999999805,3.5469999999999997,0.12779927861206053,-0.7142857142857143
Chile,2021,8.862,11.315,7.167,4,758.955378658977,17.458,4.196,-1.9079999999999995,-0.042602079484826416,7
Chile,2022,7.878,2.154,12.79,11.25,873.3141895430138,-9.161,5.622999999999999,-0.984,0.150679228449637,1.8125
Chile,2023,8.681,0.521,3.937,8.25,840.066526651499,-1.633,-8.853,0.802999999999999,-0.03807067752891147,-0.2666666666666667
Chile,2024,8.462,2.644,4.533,5,943.5721674214876,2.123,0.5960000000000005,-0.21899999999999942,0.12321124278402285,-0.3939393939393939
Colombia,2003,14.108,3.918,6.375,7.25,2877.543333333332,1.274,1.8419999999999996,5.646000000000001,2.049627185588606,0.44999999999999996
Colombia,2004,13.667,5.333,5.452,6.5,2628.368333333332,1.415,-0.923,-0.4410000000000007,-0.08659296182044185,-0.10344827586206895
Colombia,2005,11.808,4.447,4.834,6,2321.131666666667,-0.8860000000000001,-0.6180000000000003,-1.859,-0.11689254613603683,-0.07692307692307687
Colombia,2006,12.042,6.717,4.459,7.5,2358.594605263158,2.2699999999999996,-0.375,0.23399999999999999,0.016139945499210162,0.25
Colombia,2007,11.192,6.738,5.659,9.5,2077.810958333334,0.021000000000000796,1.2000000000000002,-0.8499999999999996,-0.11904701482114,0.2666666666666666
Colombia,2008,11.25,3.283,7.621,9.5,1965.1375,-3.4550000000000005,1.9620000000000006,0.05799999999999983,-0.05422700168243999,0
Colombia,2009,12.208,1.14,1.905,3.5,2157.598333333333,-2.143,-5.716,0.9580000000000002,0.09793759130510349,-0.631578947368421
Colombia,2010,11.992,4.495,3.084,3,1898.9975,3.3550000000000004,1.179,-0.2159999999999993,-0.11985587369907424,-0.1428571428571429
Colombia,2011,11.05,6.948,3.668,4.75,1848.016666666667,2.4530000000000003,0.5840000000000001,-0.9420000000000002,-0.026846182437487598,0.5833333333333333
Colombia,2012,10.617,3.913,2.442,4.25,1798.011666666666,-3.0350000000000006,-1.226,-0.43299999999999983,-0.02705873864774,-0.10526315789473684
Colombia,2013,9.892,5.134,1.963,3.25,1868.895,1.2210000000000005,-0.4790000000000001,-0.7250000000000014,0.0394231776397449,-0.23529411764705888
Colombia,2014,9.4,4.499,3.7,4.5,2001.105,-0.6350000000000007,1.737,-0.4919999999999991,0.07074233704943289,0.3846153846153846
Colombia,2015,9.2,2.956,6.798,5.75,2741.781666666668,-1.5429999999999997,3.098,-0.20000000000000107,0.3701338343898337,0.2777777777777777
Colombia,2016,9.533,2.087,5.745,7.5,3055.255,-0.8689999999999998,-1.053,0.3330000000000002,0.11433198242748421,0.30434782608695654
Colombia,2017,9.675,1.359,4.067,4.75,2951.486911201615,-0.7280000000000002,-1.678,0.14200000000000124,-0.03396380622841144,-0.3666666666666667
Colombia,2018,9.95,2.564,3.159,4.25,2955.703969978422,1.205,-0.9080000000000004,0.2749999999999986,0.0014287912850983187,-0.10526315789473684
Colombia,2019,10.867,3.187,3.808,4.25,3281.622193817878,0.6229999999999998,0.649,0.9170000000000016,0.11026754612432832,0
Colombia,2020,16.683,-7.186,1.657,1.75,3693.275833333332,-10.373,-2.151,5.815999999999999,0.1254421183190899,-0.5882352941176471
Colombia,2021,13.783,10.801,5.681,3,3744.244166666668,17.987000000000002,4.024,-2.9000000000000004,0.013800305104028965,0.7142857142857142
Colombia,2022,11.192,7.328,13.185,12,4256.194166666665,-3.473,7.5040000000000004,-2.5909999999999993,0.13672986515079844,3
Colombia,2023,10.167,0.712,9.31,13,4325.955,-6.6160000000000005,-3.875,-1.0250000000000004,0.016390425483800097,0.08333333333333326
Colombia,2024,10.158,1.744,5.217,9.5,4074.434166666665,1.032,-4.093000000000001,-0.009000000000000341,-0.05814226762260233,-0.2692307692307693
Dominican Republic,2003,8.674,-1.349,42.655,7,29.3699996161352,-3.093,37.438,-1.484,-0.9927916372151957,-0.26315789473684215
Dominican Republic,2004,7.879,2.586,28.74,7,41.93031457293872,3.9349999999999996,-13.915000000000003,-0.7949999999999999,0.42765798845646463,0
Dominican Republic,2005,8.237,9.432,7.437,10,30.28280817700818,6.846,-21.302999999999997,0.35800000000000054,-0.2777824710966439,0.4285714285714286
Dominican Republic,2006,7.075,9.171,5,8,33.300035201723,-0.261000000000001,-2.4370000000000003,-1.162,0.09963498124343717,-0.19999999999999996
Dominican Republic,2007,6.452,7.418,8.878,7,33.17187057554955,-1.7529999999999992,3.878,-0.6230000000000002,-0.003848783504193376,-0.125
Dominican Republic,2008,5.959,3.268,4.517,9.5,34.52936095735058,-4.15,-4.361,-0.4930000000000003,0.04092293736373187,0.3571428571428572
Dominican Republic,2009,6.835,1.003,5.765,4,35.97186554526,-2.2649999999999997,1.2479999999999993,0.8760000000000003,0.04177617389708277,-0.5789473684210527
Dominican Republic,2010,6.52,8.401,6.238,5,36.82129186708148,7.398,0.47300000000000075,-0.3150000000000004,0.023613629956242388,0.25
Dominican Republic,2011,7.613,3.192,7.76,6.75,38.08758486680992,-5.209,1.5219999999999994,1.0930000000000009,0.034390238243121374,0.3500000000000001
Dominican Republic,2012,8.407,2.776,3.907,5,39.32030084322575,-0.41600000000000037,-3.8529999999999998,0.7939999999999996,0.0323652964798522,-0.2592592592592593
Dominican Republic,2013,9.196,4.935,3.876,6.25,41.79450342522975,2.159,-0.03100000000000014,0.7889999999999997,0.06292430446727515,0.25
